route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,exceptional
451,0#29,0#1787-25,"CINECITTA' (MA)","22386851",0,"",11574,0,0
451,0#29,0#1787-26,"PONTE MAMMOLO (MB)","22386845",1,"",11573,0,0
451,0#29,0#1787-27,"CINECITTA' (MA)","22386853",0,"",11574,0,0
451,0#29,0#1787-28,"PONTE MAMMOLO (MB)","22386855",1,"",11573,0,0
451,0#29,0#1787-29,"CINECITTA' (MA)","22386852",0,"",11574,0,0
451,0#29,0#1787-30,"PONTE MAMMOLO (MB)","22386846",1,"",11573,0,0
451,0#29,0#1787-31,"CINECITTA' (MA)","22386863",0,"",11574,0,0
451,0#29,0#1787-32,"PONTE MAMMOLO (MB)","22386859",1,"",11573,0,0
451,0#29,0#1787-33,"CINECITTA' (MA)","22386864",0,"",11574,0,0
451,0#29,0#1787-34,"PONTE MAMMOLO (MB)","22386856",1,"",11573,0,0
451,0#29,0#1787-35,"CINECITTA' (MA)","22386865",0,"",11574,0,0
451,0#29,0#1787-36,"PONTE MAMMOLO (MB)","22386857",1,"",11573,0,0
451,0#29,0#1787-37,"CINECITTA' (MA)","22386838",0,"",11574,0,0
451,0#18,0#1788-2,"CINECITTA' (MA)","17451846",0,"",700094,0,0
451,0#18,0#1788-3,"PONTE MAMMOLO (MB)","17451840",1,"",11573,0,0
451,0#18,0#1788-4,"CINECITTA' (MA)","17451841",0,"",11574,0,0
451,0#18,0#1788-5,"PONTE MAMMOLO (MB)","17451842",1,"",11573,0,0
451,0#18,0#1788-6,"CINECITTA' (MA)","17451843",0,"",11574,0,0
451,0#18,0#1788-7,"PONTE MAMMOLO (MB)","17451844",1,"",11573,0,0
451,0#18,0#1788-8,"CINECITTA' (MA)","17451845",0,"",11574,0,0
451,0#18,0#1788-9,"PONTE MAMMOLO (MB)","17451838",1,"",11573,0,0
451,0#18,0#1788-10,"CINECITTA' (MA)","17451835",0,"",11574,0,0
451,0#18,0#1788-11,"PONTE MAMMOLO (MB)","17451836",1,"",11573,0,0
451,0#18,0#1788-12,"CINECITTA' (MA)","17451837",0,"",11574,0,0
451,0#18,0#1788-13,"PONTE MAMMOLO (MB)","17451839",1,"",11573,0,0
451,0#18,0#1788-14,"CINECITTA' (MA)","17451834",0,"",11574,0,0
451,0#1,0#1789-2,"CINECITTA' (MA)","20767069",0,"",700094,0,0
451,0#1,0#1789-3,"PONTE MAMMOLO (MB)","20767070",1,"",11573,0,0
451,0#1,0#1789-4,"CINECITTA' (MA)","20767071",0,"",11574,0,0
451,0#1,0#1789-5,"PONTE MAMMOLO (MB)","20767072",1,"",11573,0,0
451,0#1,0#1789-6,"CINECITTA' (MA)","20767073",0,"",11574,0,0
451,0#1,0#1789-7,"PONTE MAMMOLO (MB)","20767061",1,"",11573,0,0
451,0#1,0#1789-8,"CINECITTA' (MA)","20767062",0,"",11574,0,0
